Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
UNIVERSITY OF WASHINGTON,"The preservation, advancement, and dissemination of knowledge.",62,7,3,0,6,3,8.857142857142858,7,99.00,50.00,89.63,25.77,7.00,57.14,71.43,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,14.29,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNIVERSITY OF WATERLOO,"The pursuit
of learning through scholarship, teaching and research within a spirit of free
enquiry and expression",113,17,1,0,16,7,6.647058823529412,17,99.00,72.17,6.20,98.87,17.00,47.06,88.24,47.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,23.53,0.00,0.00,11.76,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,23.53,5.88,0.00,11.76,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNIVERSITY OF WISCONSIN-MADISON,To foster excellence in graduate education.,43,6,1,0,5,2,7.166666666666667,6,99.00,50.00,23.51,99.00,6.00,50.00,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNIVERSITY OF WOLLONGONG,"University of Wollongong is a global leader in discovery and learning, working to transform people and the world we live in",123,21,1,0,19,10,5.857142857142857,21,98.45,97.14,89.63,25.77,21.00,28.57,90.48,47.62,4.76,4.76,0.00,4.76,0.00,0.00,0.00,0.00,9.52,19.05,4.76,0.00,9.52,0.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,14.29,4.76,9.52,4.76,0.00,0.00,0.00,9.52,0.00,19.05,0.00,19.05,0.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNIVERSITY OF YORK,"To be a world leader in research
To offer outstanding teaching and learning
To offer all our students an outstanding and valuable experience",140,23,0,0,20,11,6.086956521739131,23,98.23,98.44,1.00,93.61,23.00,34.78,100.00,43.48,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,8.70,17.39,4.35,0.00,8.70,0.00,8.70,8.70,0.00,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,17.39,0.00,0.00,0.00,0.00,17.39,4.35,0.00,8.70,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,4.35,4.35,13.04,0.00,0.00,0.00,4.35,0.00,8.70,0.00,8.70,0.00,21.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNIVERSITY OF ZURICH,"The University of Zurich pursues excellence in research and teaching, and delivers services to the general public. UZH's Mission Statement defines the identity, goals, and role of the University in academia and society.",219,33,6,0,26,13,6.636363636363637,33,99.00,81.84,16.48,80.64,16.50,45.45,84.85,39.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,15.15,0.00,0.00,12.12,0.00,3.03,3.03,0.00,0.00,0.00,0.00,3.03,3.03,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,6.06,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,3.03,3.03,3.03,0.00,0.00,3.03,0.00,9.09,3.03,6.06,0.00,24.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,6.06,9.09,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,0.00
UPPSALA UNIVERSITY,To gain and disseminate knowledge for the benefit of humankind and for a better world.,86,15,1,0,14,8,5.733333333333333,15,99.00,74.76,10.08,99.00,15.00,26.67,93.33,53.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,26.67,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,13.33,0.00,20.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UPS,"Grow our global business by serving the logistics needs of Customers, offering excellence and value in all that we do. Maintain a financially strong company—with broad employee ownership—that provides a long-term competitive return to our shareowners. Inspire our people and business partners to do their best, offering opportunities for personal development and success. Lead by example as a responsible, caring, and sustainable company making a difference in the communities we serve.",486,71,9,0,66,28,6.845070422535211,74,94.42,99.00,10.62,99.00,18.50,37.84,90.54,40.54,10.81,8.11,0.00,6.76,0.00,0.00,1.35,2.70,8.11,13.51,2.70,0.00,6.76,0.00,6.76,9.46,4.05,0.00,0.00,1.35,12.16,10.81,0.00,0.00,0.00,0.00,21.62,0.00,1.35,0.00,0.00,8.11,1.35,2.70,1.35,0.00,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.27,9.46,6.76,8.11,4.05,0.00,0.00,6.76,0.00,12.16,2.70,6.76,2.70,17.57,0.00,0.00,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.16,5.41,5.41,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00
US Small Business Administration,"The U.S. Small Business Administration (SBA) was created in 1953 as an independent agency of the federal government to aid, counsel, assist and protect the interests of small business concerns, to preserve free competitive enterprise and to maintain and strengthen the overall economy of our nation. We recognize that small business is critical to our economic recovery and strength, to building America's future, and to helping the United States compete in today's global marketplace. The SBA helps Americans start, build and grow businesses. ",544,83,15,3,69,31,6.554216867469879,83,97.76,86.09,13.77,99.00,27.67,37.35,79.52,37.35,4.82,3.61,0.00,3.61,0.00,0.00,0.00,1.20,8.43,14.46,2.41,0.00,8.43,0.00,7.23,6.02,1.20,0.00,1.20,0.00,9.64,8.43,1.20,0.00,1.20,0.00,7.23,0.00,0.00,0.00,0.00,4.82,1.20,2.41,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.28,4.82,4.82,10.84,0.00,1.20,2.41,6.02,1.20,13.25,1.20,8.43,3.61,15.66,0.00,0.00,9.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.07,6.02,7.23,0.00,0.00,0.00,0.00,0.00,0.00,2.41,2.41,0.00
USAA,"To facilitate the financial security of its members, associates, and their families through provision of a full range of highly competitive financial products and services; in so doing, USAA seeks to be the provider of choice for the military community.",253,40,5,1,38,19,6.325,40,99.00,84.14,1.28,72.57,40.00,37.50,82.50,50.00,5.00,2.50,0.00,0.00,0.00,0.00,2.50,2.50,10.00,22.50,5.00,2.50,7.50,0.00,5.00,2.50,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,10.00,2.50,0.00,0.00,0.00,5.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,10.00,2.50,5.00,0.00,2.50,0.00,2.50,0.00,5.00,0.00,5.00,0.00,15.00,2.50,2.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,2.50,7.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
USO,lifts the spirits of America's troops and their families,56,9,1,0,8,4,6.222222222222222,9,93.26,98.62,1.00,25.77,9.00,33.33,77.78,44.44,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
Valero Energy,"‚ÄãValero will be the premier manufacturer, distributor and marketer of quality transportation fuels and petrochemical feedstocks, while serving the needs of our employees, communities and stakeholders. ",203,26,4,0,25,11,7.8076923076923075,26,74.94,87.57,1.40,25.77,26.00,50.00,69.23,42.31,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,7.69,7.69,7.69,0.00,15.38,0.00,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,7.69,0.00,3.85,0.00,0.00,0.00,7.69,3.85,11.54,3.85,0.00,7.69,11.54,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,3.85,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VANDERBILT UNIVERSITY,"Vanderbilt University is a center for scholarly research, informed and creative teaching, and service to the community and society at large.",140,21,3,0,19,9,6.666666666666667,21,96.66,92.33,37.24,95.81,21.00,47.62,95.24,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,14.29,4.76,0.00,14.29,0.00,9.52,14.29,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05,4.76,4.76,9.52,0.00,0.00,4.76,4.76,0.00,14.29,0.00,14.29,0.00,23.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Verizon,"As a leader in communications, Verizon's mission is to enable people and businesses to communicate with each other. We are also committed to providing full and open communication with our customers, employees and investors.",223,34,5,0,31,16,6.5588235294117645,34,80.67,99.00,6.20,25.77,17.00,32.35,94.12,50.00,8.82,5.88,0.00,5.88,0.00,0.00,0.00,2.94,2.94,20.59,5.88,2.94,14.71,0.00,8.82,5.88,2.94,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,23.53,0.00,0.00,0.00,0.00,8.82,0.00,2.94,0.00,0.00,2.94,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,14.71,5.88,5.88,0.00,0.00,0.00,8.82,0.00,8.82,0.00,8.82,0.00,14.71,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00
VICTORIA UNIVERSITY OF WELLINGTON,"Victoria University of Wellington’s mission is to undertake excellent research, teaching and public engagement in the service of local, national, regional and global communities.",178,24,4,0,21,8,7.416666666666667,24,98.14,89.42,48.89,99.00,24.00,54.17,87.50,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,16.67,4.17,0.00,8.33,0.00,4.17,4.17,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,4.17,8.33,8.33,4.17,0.00,0.00,4.17,0.00,20.83,0.00,20.83,0.00,20.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.83,4.17,12.50,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00
Virgin America,"Virgin America is a California-based airline that is on a mission to make flying good again, with brand new planes, attractive fares, top-notch service, and a host of fun, innovative amenities that are reinventing domestic air travel.",234,37,8,0,34,13,6.324324324324325,39,93.26,50.00,30.55,97.19,39.00,25.64,69.23,35.90,5.13,0.00,0.00,0.00,0.00,0.00,0.00,5.13,7.69,10.26,7.69,2.56,2.56,0.00,15.38,10.26,2.56,0.00,0.00,0.00,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,2.56,0.00,5.13,0.00,2.56,2.56,2.56,0.00,0.00,12.82,0.00,17.95,5.13,7.69,5.13,2.56,5.13,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,2.56,12.82,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00
VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),"Virginia Polytechnic Institute and State University (Virginia Tech) is a public land-grant university serving the Commonwealth of Virginia, the nation, and the world community. The discovery and dissemination of new knowledge are central to its mission. Through its focus on teaching and learning, research and discovery, and outreach and engagement, the university creates, conveys, and applies knowledge to expand personal growth and opportunity, advance social and community development, foster economic competitiveness, and improve the quality of life.",556,77,16,0,66,29,7.220779220779221,78,92.00,77.92,30.55,97.19,26.00,46.15,82.05,37.18,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,8.97,8.97,2.56,0.00,14.10,0.00,5.13,2.56,0.00,0.00,0.00,0.00,6.41,5.13,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,6.41,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,1.28,3.85,0.00,11.54,3.85,6.41,2.56,2.56,0.00,0.00,2.56,0.00,11.54,2.56,7.69,1.28,12.82,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,3.85,12.82,0.00,0.00,0.00,0.00,1.28,0.00,0.00,2.56,0.00
Visa,"To connect the world through the most innovative, reliable and secure payment network - enabling individuals, businesses and economies to thrive",144,21,3,0,19,8,6.857142857142857,20,99.00,69.14,1.00,96.76,20.00,50.00,75.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,0.00,0.00,10.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
Volkswagen,"We support the sales of all Volkswagen Group brands throughout the world and increase Customers loyalty in a sustainable manner. As a reliable partner for the automobile dealers, we enable our Customers to enjoy their own kind of individual mobility. We support our Customers with attractive Products throughout the time they drive their vehicle and so ensure the profitable growth of our company as well. Our committed employees actively live our corporate values and achieve high levels of Customers satisfaction as a result.",527,83,5,0,72,36,6.349397590361446,82,93.26,99.00,4.76,99.00,20.50,36.59,87.80,43.90,13.41,13.41,0.00,9.76,0.00,0.00,3.66,0.00,9.76,14.63,0.00,2.44,8.54,0.00,3.66,6.10,3.66,0.00,0.00,2.44,10.98,10.98,0.00,0.00,0.00,0.00,18.29,0.00,1.22,0.00,0.00,7.32,0.00,3.66,0.00,1.22,2.44,0.00,0.00,0.00,0.00,0.00,1.22,0.00,1.22,0.00,0.00,19.51,13.41,2.44,2.44,2.44,0.00,0.00,3.66,0.00,10.98,4.88,4.88,1.22,12.20,0.00,0.00,7.32,0.00,0.00,1.22,0.00,0.00,0.00,1.22,0.00,6.10,4.88,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Volta Charging,"Volta Charging builds iconic technology designed to accelerate the adoption of electric vehicles for social and environmental change. Brand sponsors effectively engage customers via its network of free electric vehicle charging stations exclusively located at prominent retail centers in San Francisco, Los Angeles, San Diego, Phoenix, Honolulu and Chicago. ",358,49,6,0,37,10,7.3061224489795915,49,98.09,58.08,33.04,91.78,24.50,51.02,46.94,24.49,2.04,0.00,0.00,0.00,0.00,0.00,0.00,2.04,2.04,14.29,0.00,2.04,4.08,0.00,0.00,2.04,0.00,0.00,0.00,0.00,4.08,4.08,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,6.12,2.04,4.08,0.00,0.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,14.29,2.04,12.24,0.00,4.08,0.00,0.00,6.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.24,4.08,8.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VRIJE UNIVERSITEIT BRUSSEL (VUB),"The Vrije Universiteit Brussel is a competitive, high-quality, socially committed and internationally-oriented university located in Brussels",141,16,4,0,11,5,8.8125,18,97.07,71.09,58.07,25.77,18.00,61.11,72.22,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,5.56,0.00,5.56,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.56,5.56,11.11,0.00,0.00,0.00,5.56,0.00,22.22,0.00,22.22,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00
VSCO,"VSCO is a community for expression that empowers people everywhere to create, discover, and connect.",100,15,3,1,14,6,6.666666666666667,15,84.62,97.69,10.08,99.00,15.00,40.00,80.00,46.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,13.33,6.67,6.67,6.67,0.00,13.33,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,13.33,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VU UNIVERSITY AMSTERDAM,"Academic research and education at VU is characterized by a high level of ambition, and encourages free and open communications and ideas. VU stands for universal university values such as academic freedom and independence, which is reflected in our name (‘VU’ is the Dutch abbreviation for ‘free university’): free from the church, state and any commercial interest. The basic philosophy of VU is expressed in three core values:

responsible
open
personally engaged",466,72,9,4,65,28,6.472222222222222,73,93.26,83.12,7.43,99.00,24.33,30.14,82.19,36.99,2.74,1.37,0.00,1.37,0.00,0.00,0.00,1.37,5.48,13.70,5.48,1.37,9.59,0.00,8.22,10.96,1.37,1.37,1.37,1.37,13.70,12.33,1.37,0.00,0.00,0.00,8.22,0.00,0.00,0.00,0.00,5.48,2.74,1.37,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,1.37,9.59,5.48,1.37,4.11,0.00,0.00,0.00,8.22,0.00,9.59,0.00,9.59,0.00,12.33,1.37,0.00,4.11,1.37,0.00,1.37,0.00,1.37,0.00,0.00,0.00,15.07,2.74,4.11,1.37,0.00,0.00,0.00,0.00,2.74,2.74,1.37,0.00
WAGENINGEN UNIVERSITY,To explore the potential of nature to improve the quality of life,65,12,0,0,11,6,5.416666666666667,12,99.00,50.00,23.51,99.00,12.00,33.33,83.33,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Walgreens Boots Alliance,"Be the first choice for pharmacy, wellbeing and beauty - caring for people and communities around the world",107,18,2,0,16,7,5.944444444444445,17,97.21,88.03,66.34,99.00,17.00,17.65,100.00,47.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,17.65,5.88,5.88,11.76,0.00,5.88,5.88,0.00,0.00,5.88,0.00,17.65,17.65,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,11.76,0.00,11.76,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,17.65,0.00,11.76,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00
Walmart,"We save people money, so they can live better",45,9,1,0,8,4,5.0,9,1.00,99.00,1.00,99.00,9.00,0.00,100.00,44.44,22.22,22.22,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,11.11,11.11,11.11,0.00,22.22,11.11,11.11,0.00,0.00,0.00,22.22,22.22,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,22.22,11.11,11.11,0.00,11.11,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Warby Parker,"Warby Parker was founded with a rebellious spirit and a lofty objective: to offer designer eyewear at a revolutionary price, while leading the way for socially conscious businesses.",181,28,3,0,26,11,6.464285714285714,28,99.00,76.25,52.86,1.00,28.00,35.71,82.14,39.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,3.57,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,3.57,0.00,7.14,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,3.57,3.57,0.00,0.00,0.00,17.86,3.57,7.14,10.71,0.00,0.00,7.14,0.00,0.00,14.29,3.57,7.14,3.57,7.14,0.00,0.00,7.14,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,3.57,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WASEDA UNIVERSITY,"Waseda University holds as its founding principles the preservation of the independence of scholarship, the promotion of the practical application of scholarship, and the fostering of good citizens.

Holding the independence of scholarship as a central principle, Waseda University pledges to contribute to the scholarship of the world by regarding freedom of research as essential and devoting itself constantly to original research.

Holding the practical application of scholarship as a central principle, Waseda University pledges to contribute to the progress of the times by establishing a path for the practical use of scholarship as well as pursuing theoretical research for its own sake.

Holding the fostering of good citizens as a central principle, Waseda University pledges to cultivate people of character who can respect individuality, develop themselves and their families, benefit the nation and society, and be active in the world at large.

Independence of Learning
Independence of Learning is tightly connected with the outsider’s spirit and a critical mind. Waseda University has promoted scientific education and research without bending to authority or temporal fashion, in order to produce independent modern citizens.

Practical Utilization of Knowledge
In the historical context, academic enterprises had to be useful for construction of the modern nation-state of Japan which was underway at that time. So the founding principle of Practical Utilization of Knowledge focuses not on shallow pragmatism but the spirit of progressivism.

Good Citizenship
The University was established with a focus on educating the common people, and cultivating Good Citizenship is one of the three founding principles. In today’s context of globalization it also means Good Global Citizenship. The founding principles and the Waseda Spirit which has grown from them are our legacy and the culture which we embrace.",1924,286,23,0,247,127,6.7272727272727275,287,99.00,66.22,10.85,92.50,26.09,40.07,80.49,45.64,4.88,1.74,0.00,0.70,0.00,0.00,1.05,3.14,11.15,19.86,3.83,1.39,7.32,0.70,4.88,6.97,2.44,1.39,0.70,0.00,4.88,4.53,0.35,0.00,0.35,0.00,5.57,0.35,0.00,0.00,0.00,6.62,1.74,2.44,0.00,1.05,0.35,1.39,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,7.32,1.05,2.79,1.74,2.79,0.00,1.39,3.83,0.00,10.45,0.35,6.62,2.79,9.76,0.35,0.35,2.09,1.05,0.00,0.35,0.00,0.00,0.00,0.35,0.00,8.71,3.83,3.83,0.00,0.00,0.00,0.00,0.35,0.00,0.70,0.00,0.00
